x1,x2,predict_y
65.0,550.0,0.6307466983807148
54.0,335.0,0.5247274946493281
52.5,1725.0,1.380900784988639
60.0,550.0,0.1592378935487062
50.0,700.0,0.6634811564362884
57.5,400.0,0.2798047383218233
55.0,125.0,0.8077407894484379
67.5,500.0,0.8575590724280684
50.0,700.0,0.6634811564362884
52.5,175.0,0.6771033300837171
62.5,625.0,0.8359301494861412
75.0,175.0,1.9898879977605526
65.0,600.0,0.9035703446367885
50.0,350.0,0.3723730699801667
80.0,400.0,2.2701776480389806
57.5,550.0,0.06271397789630062
50.0,1200.0,1.0574412354489133
67.5,250.0,1.5254320023357169
60.0,250.0,1.0582296310904045
50.0,425.0,0.16011054012644121
